клавиши со стрелками|direction keys|умдан полдыш
класс|class|тӱшка
класс содержания, класс содержимого|content class|кӧргӧ тӱшка
Класс сообщения|Message Class|увер тӱшка
Классификация|Classification|тӱшкалымаш
клиент|client|клиент
клип|clip|клип
ключ|Key|сравоч
ключ|Key|сравоч
Ключ легенды|Legend key|легенде сравоч
ключ продукта|CD Key|лектыш сравоч
ключ продукта|Product key|лектыш сравоч
ключевое слово|keyword|тӱҥмут
книга|workbook|книга
книжная|portrait|книга
кнопка|button|кнопко
кнопка|command button|кнопко
Кнопка|Push Button|кнопко
"кнопка ""Восстановить"""|Restore button|"""Мӧҥгештараш"" кнопко"
"кнопка ""Закрыть"""|close button|"""Петыраш"" кнопко"
"кнопка ""Полужирный"""|bold button|"""Пелегӱжгӧ"" кнопко"
"кнопка ""Пуск"""|Start button|"""Колташ"" кнопко"
"кнопка ""Свернуть"""|Minimize button|"""Шылташ"" кнопко"
"кнопка ""Справка"""|help button|"""Полыш"" кнопко"
кнопка меню|menu button|меню кнопко
кнопка мыши|mouse button|коля кнопко
кнопка панели задач|taskbar button|сомыл оҥа кнопко
кнопка панели инструментов|toolbar button|ӱзгар оҥа кнопко
кнопка панели инструментов|toolbar icon|ӱзгар оҥа кнопко
кнопка по умолчанию|default button|пеҥгыдемдыме семын кнопко
кнопка поля|field button|алан кнопко
кнопка просмотра|view button|ончымо кнопко
кнопки выравнивания|alignment buttons|тӧремдыме кнопко-влак
кнопки по месту|in-place buttons|верысе кнопко
кнопки форматирования|formatting buttons|форматироватлыме кнопко-влак
кнопочная панель|button bar|кнопко оҥа
Код|Code|код
код города|Area code|ола код
код подтверждения|Confirmation ID|пеҥгыдемдыме код
код поля|field code|алан код
